TimeUtc,BCG_amp1,BCG_amp2,BCG_amp3,BCG_amp4,BCG_amp5,BCG_amp6,BCG_amp7,BCG_amp8,BCG_amp9,BCG_amp10,BCG_amp11,BCG_amp12,BCG_amp13,BCG_amp14,BCG_amp15,BCG_amp16,BCG_amp17,BCG_amp18,BCG_amp19,BCG_amp20,HR [bpm]
11:54:49,3.99454,3.42489,4.06056,4.00052,5.23884,4.49063,4.39598,4.26878,4.25956,4.14716,4.70838,4.68714,4.77099,4.4366,4.3695,4.34999,4.55135,4.52839,4.50787,4.46868,88.900002
11:54:50,4.57494,4.77091,4.70003,4.20737,4.31733,4.52882,4.42992,4.51607,4.63837,4.55378,4.36448,4.63263,4.64883,4.58312,4.50202,4.5351,4.60189,4.66868,4.67366,4.66601,89.300003
11:54:51,4.64839,4.59175,4.61841,4.62981,4.58214,4.58822,4.56969,4.66559,4.60531,4.54352,4.34837,4.2712,4.45971,4.54865,4.53974,4.56928,4.39675,4.29213,4.3307,4.42205,89.5
11:54:52,4.46927,4.36694,4.3549,4.50874,4.51077,4.43044,4.336,4.38575,4.50278,4.52135,4.5196,4.42699,4.41922,4.56929,4.56458,4.50728,4.48994,4.44295,4.51289,4.51962,89.700005
11:54:53,4.54745,4.54191,4.49756,4.53599,4.56124,4.55656,4.55625,4.5066,4.5066,4.42642,4.41281,4.41281,4.64937,4.9685,4.89032,4.08093,3.99427,3.61054,3.82461,3.52151,89.8500025
11:54:54,3.78837,3.83472,4.00758,3.97295,4.069,3.92106,3.57789,3.8574,3.8574,3.87978,3.86226,3.89586,3.8866,3.83925,3.86195,3.86099,3.87953,3.86404,3.88881,3.88579,90.0
11:54:55,3.82348,3.84054,3.85549,3.86408,3.85228,4.04692,4.44812,4.0986,4.40826,3.84852,3.75052,3.99295,4.12633,3.62629,3.98608,3.9622,3.86278,3.66623,3.74433,3.88046,90.0
11:54:56,3.93062,3.87281,3.76668,3.69811,3.89991,3.81195,3.86317,3.8222,3.838,3.85605,3.9128,3.80657,3.83877,3.88404,3.87125,3.88716,3.80617,3.83679,4.00247,3.81264,90.0
11:54:57,3.81743,3.99329,3.99375,4.04593,3.92573,3.91035,3.82694,3.7108,3.86392,4.20581,3.80076,4.29052,3.63538,4.02645,3.93324,3.94413,3.96986,4.20705,3.7024,3.68402,90.0
11:54:58,4.22465,3.67514,4.14887,3.74155,3.88912,3.97013,3.87728,3.92389,3.92607,3.80065,3.71745,3.68136,3.75695,3.90481,3.75436,3.70852,4.32459,4.28459,4.0386,4.3508,90.0
11:54:59,3.89388,3.29746,4.20781,3.85017,3.68638,5.24686,4.19131,4.39001,4.01348,3.14364,4.21196,4.48892,6.45074,4.28881,4.25245,3.66778,3.64795,3.807,3.77057,3.69571,90.0
11:55:00,3.15087,4.06176,3.52727,5.88537,3.14248,3.70959,3.95196,4.18946,3.93399,4.41172,3.62382,3.99118,3.97043,3.61325,3.66127,4.03436,3.4288,3.94625,3.85763,4.15025,90.0
11:55:01,4.20955,3.54744,3.68171,4.61511,3.6645,3.83107,3.94779,3.80258,3.55405,4.24211,3.99912,3.81786,4.11284,3.60651,3.94053,4.49168,3.75127,4.29934,3.31048,6.18828,88.6000025
11:55:02,4.33963,4.46558,4.59868,3.30305,4.3981,4.07444,3.9811,4.14263,4.24234,3.61145,3.62496,4.3613,1.85349,4.16411,3.67297,4.22087,3.40996,5.14726,4.26175,4.1072,87.800003
11:55:03,3.1457,3.28189,0.986382,2.86415,2.7084,1.3553,2.14827,1.1295,2.04532,2.34593,3.07845,3.07845,2.37594,3.34051,6.18032,8.19387,7.84887,4.77344,4.74111,2.1696,87.049999
11:55:04,1.6535,2.46225,4.5418,4.19862,2.92594,3.86414,3.20488,3.6793,3.81087,3.27625,4.16406,3.3663,2.80513,2.51308,2.54079,2.76784,2.92149,3.48163,4.9606,4.99741,86.0
11:55:05,6.04748,6.07627,6.33516,6.41177,6.41177,6.45644,6.52543,6.56344,6.6976,6.54705,6.59176,6.00815,5.98362,6.27059,5.25688,4.99255,5.25606,5.69858,6.27783,6.65161,83.900002
11:55:06,5.64636,6.73689,7.53742,5.26812,6.87368,9.15086,9.61777,10.7117,11.7493,8.78391,11.3788,9.13939,11.5939,14.6218,13.1352,11.4962,11.823,13.4669,12.3126,12.3875,81.0
11:55:07,12.3389,13.4214,12.6902,14.9607,12.9417,13.2213,13.1469,12.5238,12.7613,12.6862,12.861,12.5671,12.4481,12.334,12.4809,12.4958,12.417,12.417,12.8483,10.0542,80.300003
11:55:08,11.3072,12.7431,9.63335,6.65829,5.83491,6.22707,3.40044,5.7674,6.95586,6.41561,6.2229,5.80605,6.65402,4.09371,6.72352,6.21906,8.45864,6.82519,9.13778,11.6898,79.400002
