TimeUtc,BCG_amp1,BCG_amp2,BCG_amp3,BCG_amp4,BCG_amp5,BCG_amp6,BCG_amp7,BCG_amp8,BCG_amp9,BCG_amp10,BCG_amp11,BCG_amp12,BCG_amp13,BCG_amp14,BCG_amp15,BCG_amp16,BCG_amp17,BCG_amp18,BCG_amp19,BCG_amp20,HR [bpm]
16:18:04,-0.820763,-0.764562,-0.79228,-0.896358,-0.983223,-1.06845,-0.986691,-0.775706,-0.662921,-0.60158,-0.600789,-0.640142,-0.623559,-0.622094,-0.764761,-1.27256,-2.49192,-4.2587,-1.69339,-0.811393,89.300003
16:18:05,0.220543,0.698983,1.63589,1.18606,0.63696,-2.3998,-4.93577,-6.55355,-7.32302,-6.25738,-7.64971,-6.26454,-6.76455,-6.20796,-6.40593,-6.2366,-6.03593,-5.88128,-5.6802,-6.59183,91.1000025
16:18:06,-6.08802,-6.04116,-6.12059,-6.11857,-6.20375,-6.23423,-6.91131,-6.52807,-5.80382,-5.8313,-6.21523,-6.65148,-7.05157,-7.1332,-6.86987,-6.54574,-5.96702,-5.65553,-6.25937,-6.16519,91.200005
16:18:07,-5.99861,-5.99861,-5.98926,-5.96224,-5.90355,-5.87428,-5.91722,-5.88295,-5.90801,-6.11824,-6.12337,-6.39722,-6.70691,-6.86619,-7.48219,-7.62197,-9.15875,-11.3575,-12.1244,-13.4819,90.400002
16:18:08,-13.0383,-13.1167,-12.3858,-9.87418,-11.2638,-12.7313,-11.2791,-13.7813,-12.9118,-12.9272,-13.7451,-13.9763,-11.887,-9.28061,-8.46682,-7.88503,-7.48299,-7.34263,-6.71691,-6.37587,88.0
16:18:09,-6.43212,-6.54109,-6.35856,-6.20895,-5.9544,-5.91917,-5.83621,-5.73301,-5.57067,-5.32857,-5.68213,-5.85381,-6.36797,-6.63946,-6.36404,-6.89682,-7.25373,-8.34556,-8.93345,-10.9401,84.599998
16:18:10,-11.4331,-13.2404,-12.4864,-13.5778,-13.3438,-13.1594,-12.1811,-9.65586,-7.28202,-7.11447,-7.24261,-6.41219,-6.41219,-6.14754,-6.23341,-6.44065,-6.61526,-6.94353,-7.46795,-7.92379,83.700005
16:18:11,-8.21222,-8.39792,-8.60478,-8.7781,-8.98587,-9.48447,-10.0283,-10.3153,-10.4858,-10.3239,-9.27235,-7.78859,-6.99014,-6.48512,-6.20201,-6.14556,-6.29702,-6.50951,-6.73401,-6.96377,82.200001
16:18:12,-7.10092,-7.13749,-7.17173,-7.0903,-6.71265,-5.83181,-5.46744,-5.45758,-5.46448,-5.38784,-4.65405,-3.66192,-3.37988,-3.20719,-3.20403,-5.67818,-5.57354,-3.74791,-3.81405,-4.25872,82.099998
16:18:13,-5.1523,-5.76246,-5.93719,-5.91699,-5.78972,-5.79204,-6.01037,-6.38417,-6.38446,-6.52016,-6.47914,-6.32141,-6.18294,-6.12423,-6.21098,-6.34336,-6.46967,-6.53133,-6.54612,-6.51552,80.700005
16:18:14,-6.44397,-6.42429,-6.39726,-6.47578,-6.58555,-6.61958,-6.54846,-6.49736,-6.50354,-6.54608,-6.59375,-6.49515,-6.16056,-5.7835,-5.43081,-5.0079,-4.54583,-4.08958,-3.9826,-4.2272,79.25
16:18:15,-4.29543,-4.16783,-3.91782,-3.69371,-3.51969,-3.31739,-2.79342,-1.47396,-0.169691,1.10798,2.9534,4.91691,5.87492,6.35642,6.48994,6.40471,6.2018,5.96438,5.77158,5.61877,78.099998
16:18:16,5.53836,5.60641,5.76827,5.98552,6.18873,6.34593,6.48588,6.62301,6.71386,6.78274,6.89036,7.04223,7.12864,7.14565,7.12089,7.04763,7.06536,7.26879,7.54232,7.77104,76.700005
16:18:17,7.89082,8.0808,8.46199,8.88761,9.16485,9.23646,9.42972,9.79272,10.1413,10.2978,10.3485,10.2484,10.2245,10.244,10.2179,10.0695,9.65009,9.29437,9.43169,9.64689,76.900002
16:18:18,9.82506,10.0246,10.318,10.4054,10.3457,10.1951,9.72474,8.90414,8.07601,7.74771,7.68615,7.69364,7.62366,7.52432,7.50702,7.46605,7.33009,7.44794,7.67137,7.90666,76.3500025
16:18:19,8.19402,8.16231,7.99977,7.88106,7.83233,7.89048,8.02925,8.36887,8.99029,9.49262,9.7843,9.99879,10.1632,10.4253,10.9371,11.2837,11.3673,11.2721,10.8493,10.3673,77.200005
16:18:20,10.3115,10.4477,10.4001,10.024,9.74844,9.69658,9.82759,9.94773,10.0895,10.3499,10.7498,11.0772,11.2812,11.2642,10.9164,10.2672,9.32367,9.06149,8.93036,9.28658,77.5
16:18:21,9.80167,10.1132,10.3634,10.401,10.3722,10.502,10.8069,10.8598,10.7956,10.7645,10.8556,11.2882,11.7437,12.0487,12.3092,12.5512,12.7566,12.8836,12.9145,12.8912,77.200005
16:18:22,12.9896,13.2786,13.6471,13.9633,14.0807,14.0054,13.7769,13.4928,13.2993,13.375,13.6613,14.0558,14.6642,15.2335,15.4753,15.1946,13.4949,13.168,13.0339,12.7349,77.8500025
16:18:23,12.3662,12.102,11.956,11.9572,12.0901,12.1925,12.2862,12.3623,12.4121,12.3381,12.188,12.1174,12.2062,12.3182,12.4447,12.5408,12.575,12.6936,13.0073,13.2468,77.200005
16:18:24,13.3114,13.3098,13.365,13.6187,14.1169,14.5506,14.769,14.9977,15.1952,15.2787,15.2412,15.1498,14.9879,14.7004,14.2922,13.6802,13.1061,12.6689,12.4052,12.2846,78.800003
16:18:25,12.2739,12.2959,12.4111,12.5911,12.672,12.5873,12.3935,12.1206,11.9379,11.9539,12.0867,12.1769,12.2379,12.2921,12.3413,12.361,12.2551,12.1483,12.1447,12.1677,78.050003
