TimeUtc,BCG_amp1,BCG_amp2,BCG_amp3,BCG_amp4,BCG_amp5,BCG_amp6,BCG_amp7,BCG_amp8,BCG_amp9,BCG_amp10,BCG_amp11,BCG_amp12,BCG_amp13,BCG_amp14,BCG_amp15,BCG_amp16,BCG_amp17,BCG_amp18,BCG_amp19,BCG_amp20,HR [bpm]
16:32:48,-1.17559,-1.14258,-3.56148,-4.87877,-5.91058,-5.7492,-8.78726,-10.6123,-12.1162,-14.5374,-13.0051,-12.9924,-13.5158,-14.6239,-14.5905,-14.986,-12.8764,-13.4748,-14.1691,-14.1903,85.6000025
16:32:49,-14.1946,-13.0423,-10.2648,-8.39498,-11.5218,-9.11968,-7.30819,-7.27216,-5.67696,-5.00231,-3.41126,-2.35419,-2.65896,-2.71985,-2.32509,-2.9841,-2.61208,-3.86164,-5.23464,-4.39663,86.599998
16:32:50,-3.46213,-2.70568,-1.98836,-2.02819,0.287963,0.0947058,0.465389,-2.63851,-2.69152,-4.16238,-6.23416,-8.45624,-7.28875,-8.73555,-10.0089,-9.95449,-7.74523,-6.2239,-4.75982,-4.40872,87.000004
16:32:51,-2.54481,-2.74065,-3.41155,-3.28506,-4.50113,-6.1894,-8.05707,-8.97977,-10.3614,-8.882,-9.23059,-9.37005,-9.28509,-8.53297,-9.39557,-11.067,-11.1324,-11.2353,-11.8589,-11.6375,89.200005
16:32:52,-11.2207,-10.9698,-10.7517,-11.2778,-10.8954,-10.2027,-8.97843,-8.84567,-8.46273,-8.41307,-7.90844,-5.89814,-5.21287,-5.17391,-5.21172,-4.30918,-5.03635,-5.42763,-4.12623,-4.8837,90.4000015
16:32:53,-5.55431,-5.23682,-4.38191,-4.73232,-3.44127,-5.14701,-7.14013,-9.97297,-7.42897,-6.66354,-9.60605,-9.26036,-9.06731,-8.7357,-8.07475,-8.47704,-9.92859,-11.8391,-12.6195,-15.0973,91.599998
16:32:54,-17.692,-15.4008,-15.8937,-17.1134,-19.0696,-18.1546,-17.3759,-15.8985,-17.114,-16.9866,-16.9135,-16.9795,-16.7608,-16.7368,-16.6887,-17.0955,-17.1559,-18.538,-18.8249,-17.4105,92.950001
16:32:55,-17.686,-18.1119,-17.0029,-15.4208,-12.779,-10.5378,-9.74416,-7.59524,-7.16341,-6.41515,-4.33639,-3.99659,-3.86416,-3.62223,-3.93758,-5.51887,-8.28112,-9.39594,-10.7867,-11.6035,92.099998
16:32:56,-12.8867,-14.351,-15.757,-12.9429,-13.9745,-14.6772,-15.8273,-18.2311,-18.1431,-18.5278,-18.348,-17.6027,-15.855,-16.0441,-15.6789,-17.404,-18.43,-15.8889,-17.7368,-20.1422,91.0500035
16:32:57,-21.3989,-20.6888,-22.0756,-24.3403,-26.5151,-27.6497,-26.9711,-27.4352,-27.4874,-26.7236,-25.7656,-25.1493,-24.4358,-23.6198,-23.0043,-22.8211,-22.2994,-21.4792,-21.3356,-21.6977,88.700005
