TimeUtc,BCG_amp1,BCG_amp2,BCG_amp3,BCG_amp4,BCG_amp5,BCG_amp6,BCG_amp7,BCG_amp8,BCG_amp9,BCG_amp10,BCG_amp11,BCG_amp12,BCG_amp13,BCG_amp14,BCG_amp15,BCG_amp16,BCG_amp17,BCG_amp18,BCG_amp19,BCG_amp20,HR [bpm]
15:34:58,-0.481951,-0.630818,-0.113112,0.66541,0.83382,0.358654,-0.000582039,0.0950041,0.307756,0.273109,-0.0130447,-0.255085,-0.193054,0.0302721,0.014335,-0.307258,-0.607242,-0.622236,-0.376095,-0.0651048,65.900002
15:34:59,0.174598,0.304854,0.339278,0.364583,0.423247,0.399995,0.123812,-0.274118,-0.298095,0.123729,0.314735,-0.102376,-0.54891,-0.392671,0.121486,0.377764,0.255926,-0.001367,-0.218064,-0.354595,64.900002
15:35:00,-0.451972,-0.399024,0.0299494,0.629526,0.815466,0.47362,0.0825888,-0.156121,-0.388103,-0.411786,-0.0753439,0.151748,-0.0268132,-0.223578,-0.0896157,0.153843,0.0553954,-0.269207,-0.17534,0.419998,64.200005
15:35:01,0.74939,0.160312,-0.865824,-1.06536,-0.126252,0.856743,0.893839,0.105492,-0.582198,-0.418982,0.245868,0.453,0.0561667,-0.221122,-0.0661088,0.120441,0.10643,0.0230227,-0.112884,-0.288374,63.200001
15:35:02,-0.275356,-0.0216576,0.160988,0.0539015,-0.140966,-0.133351,0.0393779,0.170455,0.185642,0.161447,0.141561,0.0407149,-0.0762657,0.0113171,0.184759,0.0804545,-0.250737,-0.366157,-0.145883,0.0732052,62.5
15:35:03,0.154516,0.160084,-0.126797,-0.684542,-0.798913,0.0110169,0.979847,0.938702,0.157338,-0.0304341,0.588618,0.860801,0.105404,-0.967761,-1.29228,-0.787731,-0.206461,-0.019502,-0.0976382,-0.126397,61.5
15:35:04,0.138499,0.627791,0.815103,0.361847,-0.209763,-0.264067,-0.0749298,-0.183229,-0.352281,0.00153258,0.744617,0.976789,0.221201,-0.72079,-0.811778,-0.287642,-0.0591448,-0.170481,-0.0826657,0.167383,60.900002
15:35:05,0.230526,0.248451,0.458555,0.515754,0.038786,-0.581786,-0.712972,-0.352427,0.123916,0.483588,0.561817,0.269576,-0.202784,-0.555341,-0.5468,-0.128525,0.318428,0.38291,0.152215,-0.044843,61.650002
15:35:06,-0.140521,-0.292849,-0.410666,-0.171664,0.3511,0.603258,0.38937,0.158943,0.0864457,-0.115546,-0.392522,-0.357378,0.0401489,0.305156,0.0850672,-0.265196,-0.343921,-0.22299,-0.0797562,0.0334991,61.799999
15:35:07,0.105135,0.123504,0.177761,0.346638,0.464484,0.349762,0.0297478,-0.311939,-0.468059,-0.442797,-0.261756,0.1961,0.685087,0.570326,-0.293599,-1.16759,-1.14734,-0.200086,0.703581,0.793342,61.700001
15:35:08,0.418823,0.24721,0.290611,0.208709,-0.0833017,-0.307542,-0.20299,0.039589,0.0497122,-0.189601,-0.403556,-0.353793,-0.0345984,0.247335,0.208732,0.0965658,0.243005,0.325168,-0.0117869,-0.403631,61.799999
15:35:09,-0.335031,0.129415,0.4205,0.189311,-0.218039,-0.330283,-0.160271,0.0719591,0.225827,0.189722,0.0160708,-0.096474,-0.123256,-0.201723,-0.326482,-0.308461,-0.0301889,0.357235,0.583002,0.507064,62.200001
15:35:10,0.155973,-0.237273,-0.374577,-0.245984,-0.0510697,0.0756754,0.140856,0.268759,0.377328,0.123423,-0.444551,-0.747461,-0.434662,0.142225,0.318949,-0.0250498,-0.243096,0.0848,0.463679,0.33202,62.799999
15:35:11,-0.0978309,-0.285254,-0.0395628,0.366994,0.500977,0.217494,-0.2067,-0.355492,-0.0751137,0.381261,0.511022,-0.125141,-1.29489,-1.97331,-1.36808,0.188487,1.53678,1.75526,0.91419,-0.184615,63.0
15:35:12,-0.704914,-0.310626,0.53425,0.910094,0.476848,-0.0175202,0.0851214,0.247063,-0.107788,-0.468287,-0.313497,-0.0103566,-0.0770423,-0.500257,-0.933937,-1.08963,-0.941217,-0.679848,-0.34521,0.24065,63.200001
15:35:13,0.854493,0.817368,0.177016,0.0371553,0.875707,1.80544,1.97481,1.27112,-0.0240853,-1.22515,-1.56731,-1.03351,-0.342809,0.00247297,0.012262,-0.286583,-0.614072,-0.240472,0.813475,1.29029,64.300003
15:35:14,0.356457,-1.1772,-1.93109,-1.47249,-0.36687,0.453278,0.45027,0.196664,0.562748,1.21384,1.20467,0.682246,0.491818,0.64977,0.417191,-0.447711,-1.09463,-0.70669,0.109286,0.154389,64.900002
15:35:15,-0.533246,-0.908695,-0.560854,-0.0566719,-0.0127692,-0.353401,-0.400798,0.0945215,0.450366,0.244193,0.0632512,0.411686,0.880078,0.792564,0.113354,-0.413106,-0.122592,0.503102,0.348617,-0.626821,66.099998
15:35:16,-1.18828,-0.586627,0.301744,0.301194,-0.210032,-0.0239769,0.853315,1.17529,0.279818,-0.928832,-1.13762,-0.279982,0.472607,0.192807,-0.711059,-1.04653,-0.390729,0.392264,0.480431,0.261299,69.550003
15:35:17,0.493954,0.936757,0.862943,0.381451,0.0355463,-0.16756,-0.424345,-0.67498,-0.774019,-0.629199,-0.244211,0.331648,0.856186,0.690414,-0.365072,-1.29138,-0.955273,0.36711,1.30283,1.02851,73.200005
15:35:18,0.0325634,-0.64988,-0.460835,0.240387,0.531888,-0.066124,-0.857734,-0.640243,0.550884,1.20889,0.501528,-0.55761,-0.742041,-0.219113,0.059593,-0.222341,-0.511115,-0.334128,0.133839,0.5898,75.25
15:35:19,0.884322,0.712987,0.0943516,-0.286979,-0.141901,0.0345333,-0.0475523,-0.198192,-0.311163,-0.41222,-0.397105,-0.187126,0.0534361,0.148348,0.204671,0.338919,0.319202,-0.04839,-0.429432,-0.391844,75.800003
15:35:20,-0.104007,0.0146697,0.0452622,0.283672,0.596861,0.601437,0.236482,-0.129564,-0.174322,-0.0157253,-0.0482168,-0.427505,-0.71424,-0.307361,0.558549,0.788735,-0.0866248,-1.0551,-0.912727,0.151472,74.700005
15:35:21,0.900632,0.696994,0.031914,-0.423219,-0.380724,0.0764837,0.469065,0.399456,0.0423887,-0.25207,-0.311226,-0.0130759,0.371054,0.179463,-0.51968,-0.739882,-0.0509379,0.727938,0.766861,0.294427,72.599998
15:35:22,-0.0591754,-0.133781,-0.111019,-0.203619,-0.439594,-0.593425,-0.54867,-0.290245,0.22788,0.643034,0.523125,0.144521,0.0148081,0.196781,0.367121,0.187343,-0.216388,-0.415075,-0.307882,-0.131204,70.700005
15:35:23,-0.0727491,-0.0931304,-0.0220858,0.120354,0.0808256,-0.129288,-0.0828359,0.372772,0.614618,0.0631042,-0.653457,-0.500536,0.232775,0.439232,-0.0310939,-0.334719,-0.0613251,0.266818,0.193394,-0.00213134,68.700005
