Timestamp,HR [bpm]
1689940369177,141.509430
1689940369489,152.659088
1689940369937,149.500000
1689940370401,150.000000
1689940371118,141.666672
1689940374977,126.132530
1689940376821,114.189079
1689940377112,128.159088
1689940378142,119.812500
1689940378850,124.531250
1689940379161,120.535713
1689940379795,120.079544
1689940380292,116.029411
1689940380690,129.909088
1689940381230,137.788467
1689940381327,138.111115
1689940384156,123.413353
1689940384831,119.057930
1689940404788,104.501205
1689940414041,92.684586
1689940414442,100.507652
1689940415397,97.219337
1689940428482,85.443184
1689940428888,96.696426
1689940429113,111.660713
1689940430013,109.029411
1689940432993,97.772697
1689940445537,86.345619
1689940447039,80.290321
1689940451177,71.806358
1689940451387,91.409088
1689940452107,90.526161
1689940452298,108.034088
1689940453366,103.782181
1689940453636,108.361115
1689940454176,108.086960
1689940454400,122.909088
1689940454671,136.034088
1689940455840,127.600922
1689940457239,116.464287
1689940461161,103.560440
1689940461454,104.992538
1689940461745,112.255432
1689940462465,112.648438
1689940463098,109.065216
1689940463633,107.394234
1689940464254,105.960526
1689940464847,104.925323
1689940465470,103.742088
1689940466147,102.718750
1689940466775,101.992088
1689940467405,101.117088
1689940468034,100.093750
1689940468665,99.367088
1689940469295,98.199074
1689940469978,97.182930
1689940470644,96.307930
1689940471276,95.718750
1689940471952,95.574074
1689940472583,92.599998
1689940473254,92.599998
1689940473936,91.300003
1689940474604,89.500000
1689940475332,87.599998
1689940476052,86.000000
1689940476776,84.900002
1689940477496,84.400002
1689940478209,84.599998
1689940478941,84.500000
1689940479651,84.099998
1689940480373,84.200005
1689940481132,82.599998
1689940481902,81.000000
1689940482631,81.200005
1689940483352,81.000000
1689940484103,81.200005
1689940484825,81.300003
1689940485605,81.599998
1689940486262,83.599998
1689940486892,84.400002
1689940487523,86.000000
1689940488200,88.000000
1689940488829,88.400002
1689940489642,88.900002
1689940490492,89.300003
1689940491368,89.500000
1689940492202,89.700005
1689940493031,89.800003
1689940493866,89.900002
1689940494691,90.000000
1689940495533,90.000000
1689940496392,90.000000
1689940497200,90.000000
1689940498005,90.000000
1689940498778,90.000000
1689940499537,90.000000
1689940500310,90.000000
1689940501034,89.200005
1689940501756,88.000000
1689940502420,87.800003
1689940503137,87.000000
1689940503825,87.099998
1689940504534,86.000000
1689940505298,83.900002
1689940506077,81.900002
1689940506873,80.099998
1689940507640,80.300003
1689940508403,79.400002
1689940509182,78.500000
1689940509934,78.099998
1689940510703,79.099998
1689940511431,79.800003
1689940512185,80.000000
1689940512871,81.599998
1689940513591,82.099998
1689940514313,82.800003
1689940515038,82.700005
1689940515763,83.200005
